date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
2022-05-23,36338794.901457995,405156244.2989392,1.0,45042.88346848285,1.0,1.0001158153797711,0.9986558597717344,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-22,22306118.159477603,408067033.33992785,1.0,24799.24607055476,1.0,1.0000029999431073,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-21,28005519.324443106,402368701.82671595,1.0,17653.280457022112,1.0,1.001104620046288,0.999712597517472,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-20,50586139.74720336,406647233.11400366,1.0,63398.65794030916,1.0,1.0012624625359339,0.9996835489113396,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-19,55153674.84614066,359613446.97462785,1.0,75835.95844074494,1.0,1.0035981647270809,0.9995393342961032,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-18,62688071.09553176,275808621.6141472,1.0,74929.19502688259,1.0,1.0017502849379576,0.99875666140731,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-17,56197037.70195568,280945727.5839136,1.0,57673.85892690743,1.0,1.0014373826857887,0.9996085829542124,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-16,100913061.70840512,276140133.5985569,1.0,79614.43344786235,1.0,1.0061893276322884,0.9988762453542056,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-15,61077623.51011845,288809381.3863124,1.0,50990.42228416616,1.0,1.0008980962867984,0.9993716111324445,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-14,52583119.472246006,294814708.14087373,1.0,64805.863566162,1.0,1.0014294287338013,0.9994466660832604,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-13,161041856.45856583,291410366.326526,1.0,141412.4861784536,1.0,1.0042985928551271,0.997267496408002,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-12,707824744.6669946,289032360.4750817,1.0,396362.7034912128,1.0,1.0090035608161372,0.9916485808175242,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-11,310087957.66419846,338830943.60382193,1.0,252107.72252514007,1.0,1.002832909348028,0.9960991855243808,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-10,120167186.17902702,369519135.2632429,1.0,89186.4886070357,1.0,1.0020388825274462,0.998310742816402,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-09,204272467.360806,361428454.8601472,1.0,153768.96765523584,1.0,1.003868118193049,0.9992477502393002,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-08,129249043.98651253,364884224.62431103,1.0,107777.9212085699,1.0,1.0006758588433202,0.999289198259366,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-07,63060844.487499274,378026436.84308267,1.0,48915.86435030667,1.0,1.0000027642973688,0.9999945284546816,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-06,100989566.76361275,386344026.39606714,1.0,132104.43716501325,1.0,1.0010525601076221,0.999588416390948,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-05,59706454.779588014,365631292.1945813,1.0,24184.055880766846,1.0,1.0000005529208233,0.999308264563437,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-04,50389012.03868913,369614686.8044264,1.0,22921.691341536825,1.0,1.0001037628824754,0.9985595387743466,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-03,47036230.35198373,362671127.73451966,1.0,13137.278104312463,1.0,1.0000846849557754,0.9992386216414744,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-02,34221296.97655973,352037852.1921575,1.0,18297.6869083457,1.0,1.0003269010145963,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-05-01,36765894.78315834,355093393.91100395,1.0,14887.225388024672,1.0,1.0001992420123855,1.0,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-30,79662791.31253196,350690855.17977464,1.0,32914.38143239915,1.0,1.000608765701383,0.9991846730486988,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
2022-04-29,44055772.43396136,362246736.1119036,1.0,22149.462958671793,1.0,1.0,0.9996789026049188,1.0,0x6b175474e89094c44da98b954eedeac495271d0f
