tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-879120,0,6.640677117122403e-49,WBTC/WETH-0.3,5.557262772749895e+22,3.701486037430092e-26,0.0,4.1267550196633134e-24
-879060,0,6.680638947378262e-49,WBTC/WETH-0.3,5.540616798162576e+22,3.71260661204505e-26,0.0,4.1638810857837635e-24
-879000,0,6.720841257309497e-49,WBTC/WETH-0.3,5.5240206841771624e+22,3.72376059680315e-26,0.0,4.201118691751796e-24
-878940,0,6.761285494058892e-49,WBTC/WETH-0.3,5.507474281444364e+22,3.734948092080902e-26,0.0,4.2384681726726044e-24
-878880,0,6.801973113477748e-49,WBTC/WETH-0.3,5.490977441060863e+22,3.7461691985554565e-26,0.0,4.275929864658159e-24
-878820,0,6.842905580178297e-49,WBTC/WETH-0.3,5.474530014570158e+22,3.75742401720697e-26,0.0,4.3135041048302284e-24
-878760,0,6.88408436758642e-49,WBTC/WETH-0.3,5.4581318539593564e+22,3.768712649318246e-26,0.0,4.351191231323411e-24
-878700,0,6.925510957994675e-49,WBTC/WETH-0.3,5.441782811661009e+22,3.780035196477825e-26,0.0,4.388991583288189e-24
-878640,0,6.967186842615672e-49,WBTC/WETH-0.3,5.425482740546773e+22,3.7913917605774327e-26,0.0,4.426905500893963e-24
-878580,0,7.009113521635735e-49,WBTC/WETH-0.3,5.4092314939318614e+22,3.802782443816903e-26,0.0,4.464933325332132e-24
-878520,0,7.051292504268914e-49,WBTC/WETH-0.3,5.393028925568728e+22,3.8142073487016237e-26,0.0,4.503075398819148e-24
-878460,0,7.093725308811308e-49,WBTC/WETH-0.3,5.376874889649382e+22,3.825666578045995e-26,0.0,4.541332064599609e-24
-878400,0,7.13641346269572e-49,WBTC/WETH-0.3,5.3607692408012166e+22,3.837160234972339e-26,0.0,4.579703666949332e-24
-878340,0,7.179358502546635e-49,WBTC/WETH-0.3,5.344711834088236e+22,3.848688422913629e-26,0.0,4.618190551178468e-24
-878280,0,7.222561974235537e-49,WBTC/WETH-0.3,5.328702525008184e+22,3.8602512456133076e-26,0.0,4.656793063634601e-24
-878220,0,7.266025432936552e-49,WBTC/WETH-0.3,5.312741169491227e+22,3.8718488071261947e-26,0.0,4.6955115517058635e-24
-878160,0,7.309750443182434e-49,WBTC/WETH-0.3,5.296827623899619e+22,3.8834812118201295e-26,0.0,4.734346363824064e-24
-878100,0,7.353738578920877e-49,WBTC/WETH-0.3,5.28096174502611e+22,3.8951485643766945e-26,0.0,4.773297849467831e-24
-878040,0,7.397991423571173e-49,WBTC/WETH-0.3,5.265143390090892e+22,3.9068509697908536e-26,0.0,4.81236635916574e-24
-877980,0,7.442510570081216e-49,WBTC/WETH-0.3,5.249372416743965e+22,3.9185885333745916e-26,0.0,4.851552244499486e-24
-877920,0,7.48729762098483e-49,WBTC/WETH-0.3,5.233648683059869e+22,3.9303613607549105e-26,0.0,4.890855858107035e-24
-877860,0,7.532354188459467e-49,WBTC/WETH-0.3,5.217972047539774e+22,3.94216955787729e-26,0.0,4.930277553685808e-24
-877800,0,7.57768189438423e-49,WBTC/WETH-0.3,5.20234236910724e+22,3.9540132310044135e-26,0.0,4.9698176859958524e-24
-877740,0,7.623282370398263e-49,WBTC/WETH-0.3,5.18675950710954e+22,3.965892486719076e-26,0.0,5.009476610863043e-24
-877680,0,7.669157257959481e-49,WBTC/WETH-0.3,5.171223321314883e+22,3.977807431924008e-26,0.0,5.049254685182283e-24
-877620,0,7.715308208403654e-49,WBTC/WETH-0.3,5.155733671911327e+22,3.989758173842962e-26,0.0,5.089152266920713e-24
-877560,0,7.761736883003854e-49,WBTC/WETH-0.3,5.140290419505921e+22,4.0017448200219884e-26,0.0,5.129169715120933e-24
-877500,0,7.808444953030252e-49,WBTC/WETH-0.3,5.124893425122685e+22,4.013767478329802e-26,0.0,5.169307389904231e-24
-877440,0,7.855434099810276e-49,WBTC/WETH-0.3,5.109542550203594e+22,4.025826256960509e-26,0.0,5.209565652473836e-24
-877380,0,7.902706014789142e-49,WBTC/WETH-0.3,5.094237656603077e+22,4.037921264431239e-26,0.0,5.249944865118148e-24
-877320,0,7.95026239959073e-49,WBTC/WETH-0.3,5.078978606592015e+22,4.0500526095872463e-26,0.0,5.290445391214021e-24
-877260,0,7.998104966078838e-49,WBTC/WETH-0.3,5.063765262851798e+22,4.062220401599178e-26,0.0,5.331067595230013e-24
-877200,0,8.04623543641881e-49,WBTC/WETH-0.3,5.0485974884759875e+22,4.074424749966345e-26,0.0,5.371811842729676e-24
