tick,liquidity,price,pool_id,amount0,amount1,total-amount0,total-amount1
-878040,0,7.397991423571173e-51,USDC/WETH-0.3,4.348777992154294e+25,3.2268879035713837e-25,0.0,3.98399171110832e-23
-877980,0,7.442510570081216e-51,USDC/WETH-0.3,4.335751858443473e+25,3.2365826173545894e-25,0.0,4.0163575372818657e-23
-877920,0,7.48729762098483e-51,USDC/WETH-0.3,4.322764742626536e+25,3.2463064574903236e-25,0.0,4.048820601856769e-23
-877860,0,7.532354188459467e-51,USDC/WETH-0.3,4.309816527831642e+25,3.256059511484916e-25,0.0,4.081381196971619e-23
-877800,0,7.57768189438423e-51,USDC/WETH-0.3,4.296907097535826e+25,3.26584186710669e-25,0.0,4.114039615642685e-23
-877740,0,7.623282370398263e-51,USDC/WETH-0.3,4.284036335566093e+25,3.275653612388371e-25,0.0,4.146796151766569e-23
-877680,0,7.669157257959481e-51,USDC/WETH-0.3,4.27120412609712e+25,3.2854948356269346e-25,0.0,4.1796511001228384e-23
-877620,0,7.715308208403654e-51,USDC/WETH-0.3,4.258410353650363e+25,3.2953656253845073e-25,0.0,4.212604756376683e-23
-877560,0,7.761736883003855e-51,USDC/WETH-0.3,4.245654903093346e+25,3.305266070489421e-25,0.0,4.2456574170815774e-23
-877500,0,7.808444953030252e-51,USDC/WETH-0.3,4.23293765963799e+25,3.3151962600365108e-25,0.0,4.2788093796819423e-23
-877440,0,7.855434099810276e-51,USDC/WETH-0.3,4.2202585088414334e+25,3.3251562833893736e-25,0.0,4.3120609425158365e-23
-877380,0,7.902706014789142e-51,USDC/WETH-0.3,4.207617336601481e+25,3.3351462301784104e-25,0.0,4.345412404817621e-23
-877320,0,7.95026239959073e-51,USDC/WETH-0.3,4.195014029159906e+25,3.3451661903050355e-25,0.0,4.3788640667206706e-23
-877260,0,7.998104966078838e-51,USDC/WETH-0.3,4.182448473097548e+25,3.355216253939424e-25,0.0,4.412416229260065e-23
-877200,0,8.04623543641881e-51,USDC/WETH-0.3,4.169920555335683e+25,3.3652965115232173e-25,0.0,4.4460691943752973e-23
-877140,0,8.094655543139522e-51,USDC/WETH-0.3,4.157430163134542e+25,3.3754070537699707e-25,0.0,4.479823264912997e-23
-877080,0,8.143367029195745e-51,USDC/WETH-0.3,4.14497718409165e+25,3.3855479716654567e-25,0.0,4.513678744629651e-23
-877020,0,8.192371648030895e-51,USDC/WETH-0.3,4.132561506141122e+25,3.395719356468718e-25,0.0,4.547635938194338e-23
-876960,0,8.24167116364014e-51,USDC/WETH-0.3,4.1201830175529295e+25,3.4059212997131164e-25,0.0,4.5816951511914693e-23
-876900,0,8.291267350633902e-51,USDC/WETH-0.3,4.107841606932168e+25,3.4161538932073896e-25,0.0,4.6158566901235436e-23
-876840,0,8.341161994301739e-51,USDC/WETH-0.3,4.095537163216865e+25,3.4264172290354955e-25,0.0,4.650120862413898e-23
-876780,0,8.391356890676607e-51,USDC/WETH-0.3,4.083269575677817e+25,3.4367113995581195e-25,0.0,4.6844879764094794e-23
-876720,0,8.44185384659951e-51,USDC/WETH-0.3,4.071038733917843e+25,3.447036497413726e-25,0.0,4.7189583413836166e-23
-876660,0,8.492654679784539e-51,USDC/WETH-0.3,4.058844527870683e+25,3.457392615519308e-25,0.0,4.7535322675388095e-23
-876600,0,8.543761218884312e-51,USDC/WETH-0.3,4.046686847798859e+25,3.4677798470702385e-25,0.0,4.788210066009512e-23
-876540,0,8.595175303555787e-51,USDC/WETH-0.3,4.034565584294168e+25,3.4781982855423745e-25,0.0,4.8229920488649356e-23
