id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19130,1652832000,726572.5850915396909439049235517236,1448105617.037860005000789341461778,0,1632146.045648595364337226228008686,15141710,13141781202.63984207698261031225892
19129,1652745600,607239.9108072493030455648533636616,1253681134.012307630320963750584364,0,1554272.571563507074378903302987917,15103092,14238102612.45230384562571915476166
19128,1652659200,1009619.220966027547324599168450246,2046114460.224089932512363448951838,0,2460696.497775822815060956214786899,15068086,13772898475.10031540402181635858609
19127,1652572800,540890.8468321545048800507786202773,1120414190.934330244679142922059161,0,1493545.497869963568391448899520404,15019627,14477723402.43186837332585381046344
19126,1652486400,715092.5384340606863985686681252685,1439123566.178080949668755657257056,0,1869044.161547061067781649926081014,14969320,13978681972.91554603848150367452003
19125,1652400000,1197153.517057140175576151236748293,2473523966.553814730820681277584089,0,3225384.67362928624969578786187592,14903775,13652767624.95822474172502087637681
19124,1652313600,2732736.765847305816030154862526956,5223223442.624798471302454026301454,0,6820871.549445839143166287180887721,14851864,13163366559.30994250837307682538281
19123,1652227200,2225730.332695339540772730913785038,4990569642.979484688289577009642467,0,7105098.59236618526677666352114009,14789832,14077523733.16903411582434261565477
19122,1652140800,1303457.093559856721493988255786098,3062641122.202426132653276605412005,0,4060201.154359347421464142496535424,14724992,15846823003.74561573665670485228089
19121,1652054400,1492847.767288896538319214569445867,3527336847.825700491793116573892345,0,4180642.785786343052466610005535265,14667707,15225643176.80453393484327478605618
19120,1651968000,793483.5407793143591868640173810065,2022447693.962078657951047385805191,0,2064553.265998641595377692085133537,14611048,17091101743.57680098518033610460667
19119,1651881600,416569.1045830194382870668138092264,1109053566.921936221767381310810829,0,1311701.714354472540703564629563373,14570568,17867828384.88039249769010432042394
19118,1651795200,798425.8925032136929355270483950922,2151038192.655803999544137026738793,0,2539704.639982365720234006508085843,14539433,18165092477.75569324946715489879715
19117,1651708800,683692.4833757066788246891127813224,1923420119.349269031936214384358348,0,2228742.785160006862015308581252818,14505536,18384861300.77233746268834563882408
19116,1651622400,594256.3028776863031031296775277539,1703992307.022027988184467062791838,0,2054113.660519533919028061982817734,14471487,19536707297.15513830414281252129593
19115,1651536000,494780.5594480487487488282874144607,1395464282.911683724515607464931136,0,1424773.083026525211132706453320268,14436637,18596907947.54885295521455828885263
19114,1651449600,532260.8233452611344539566890396104,1505522550.55105818886366342414139,0,1929659.514734954408475003663674942,14410825,19041882972.48223449743051190010446
19113,1651363200,592484.4035244988986841479296127473,1647269635.813993780920324019396337,0,2515131.889355764492390074761357767,14381273,18839917049.20276138818761707865543
19112,1651276800,699805.75430407519678594052497938,1962678497.664882733575370138247586,0,3367186.745553514795643418129495885,14342501,18230616521.70181208508710239609066
19111,1651190400,616670.5983032835011623030326553498,1770071416.736590790939127543017512,0,3193902.789467608021868295709297241,14282012,18774416166.47503441429320450113401
19110,1651104000,592805.0369320062249471761043949459,1730687007.580413879226742827989663,0,2797732.575726649902913682228066274,14227310,19504166050.06656572686649039781817
19109,1651017600,418277.9200697728224022451162649075,1198360253.373600281902621349066112,0,1614743.911608231868097401883123707,14184193,19229812158.50129071891159871061079
19108,1650931200,497309.5188641698702418141445638397,1451415499.46490261963018299232112,0,1997178.148839099353851459156279898,14150539,18701309740.27466117145798363550668
19107,1650844800,520031.5190110615584902966728977988,1505332300.38159433401115348903104,0,2222385.284847040720883254500565877,14113606,19955593468.46298339285424337728618
